Tristeza	https://open.spotify.com/track/6SWCItCvbNhSH7rvtoQJ90?si=TX_RId_dTfetfxvu-UE0lg	1 0	1	1	1 
Just The Same	https://open.spotify.com/track/0th4T1Qdnf52KtDgdaHbT3?si=tTemDzpfT0iyLRuNIoPwNg	1	0	0	0
Hold It Together	https://open.spotify.com/track/6gJ2H930mAD1zRqmoFiE4W?si=jjaw-gOIQGSEiJZIC0zw2g	1	1	0	0	0
Your Love (Deja Vu)	https://open.spotify.com/track/5DYD4zlGiFlkpLaf2Bk8Vl?si=oFL4N4PlRJyH42MULVEpJQ	0	0	1	1	1
Rivolta	https://open.spotify.com/track/6HPSzboswlKS4Juf6UvyPA?si=xUT6M8E9QhOY2hBrnP3o5A	1	0	1	1	1
Cherry	https://open.spotify.com/track/0nSEZamLD7UwRiqUpyws6o?si=lCumb885RwuoaJzTzMh__Q	1	0	0	0	1
Mai	https://open.spotify.com/track/7z2uCTo5Wu9CCMOGHeHSQN?si=ZFa3AWqSSWSrLRGwCgWi1A	1	1	0	0	0
Invisible Things	https://open.spotify.com/track/1ShHhJlzaLuoZbJ3aP4z0m?si=I35Tm2AcQ6GuwQC58CgHXA	1	0	1	0	1
Green Eggs And Ham	https://open.spotify.com/track/5J9SUxDPv2nYyWQy0BfnAA?si=2ZQjQoaJThqe8cuNSfF6Vw 0	1	1	0	1
Where Angels Fear to Tread	https://open.spotify.com/track/1ZqeykOaDmjkldzs7XGR4b?si=J9C_Q3zcSxCwualPPuyrQQ	1	1	1	0	1
Bikini Porn	https://open.spotify.com/track/2jUoKSWTHduXxUL3JomwhB?si=w-fB07woSLK-USy6dLv6PQ	0	0	1	1	1
Quiero	https://open.spotify.com/track/6tBhtdAEIGEacpqUZTk72s?si=O_M5-lV9SKi6zQw7l2_DvA	1	0	1	1	1
All The Boys I Know	https://open.spotify.com/track/0scsasJCOvqlahmvwAdZnR?si=imv7nE02SpeZSCgnBNgAnw	1	1	1	0	1
